id,ct_bciinsc,inscricao,potencial_construtivo,renda,dist_via_principal,dist_via_secundaria,dist_polo_padrao,dist_polo_valoriz,dist_polo_desvaloriz,area,predicao
10231092,01.28.011.1787,1280111787,0,1396.37,5480.29,29.94,332.91,325.77,1586.44,400,1004.2
10231674,01.28.015.2838,1280152838,0,1383.0,6818.08,6.37,513.74,1649.67,1590.13,400,846.24
10201764,01.10.014.1251,1100141251,0,1263.03,309.96,1133.11,560.33,1557.48,1363.54,400,502.21
10201256,01.01.011.3493,1010113493,0,1303.41,89.89,332.71,561.67,1807.39,1389.87,400,660.28
10201257,01.01.011.3473,1010113473,0,1302.41,36.55,270.58,577.43,1827.75,1397.02,400,674.28
10201258,01.01.011.3415,1010113415,1,1301.82,24.2,254.39,631.99,1872.54,1420.98,400,1284.29
10201259,01.01.011.3417,1010113417,1,1301.82,25.19,254.39,639.46,1878.54,1433.92,400,1288.63
10201478,01.01.016.0157,1010160157,0,1341.5,345.94,423.43,1.0,955.3,983.57,400,605.78
10201260,01.01.011.3411,1010113411,1,1301.82,1.0,205.34,649.56,1911.94,1436.92,400,1280.94
10201261,01.01.014.0006,1010140006,1,1297.92,145.23,5.24,853.51,2148.7,1549.97,400,1626.83
10201262,01.01.011.3413,1010113413,1,1301.82,32.0,254.84,649.72,1894.53,1446.52,400,1288.97
10201263,01.01.011.3577,1010113577,0,1305.88,162.12,423.69,497.09,1721.59,1359.99,400,605.0
10201264,01.01.011.4747,1010114747,1,1303.41,127.85,362.01,535.58,1730.23,1405.25,400,1259.05
10201265,01.01.011.3565,1010113565,0,1305.4,153.17,412.84,505.34,1733.48,1363.46,400,609.07
10201266,01.01.011.3554,1010113554,0,1305.4,144.13,401.5,512.77,1744.52,1366.27,400,617.26
10201267,01.01.011.3529,1010113529,0,1304.92,126.33,378.35,521.33,1756.28,1370.07,400,629.52
10201268,01.01.011.3518,1010113518,0,1303.9,125.61,377.41,540.71,1780.84,1379.88,400,629.6
10201269,01.01.011.3517,1010113517,0,1303.9,115.55,364.85,541.5,1781.84,1380.29,400,641.92
10201270,01.01.011.3505,1010113505,0,1303.41,105.9,352.53,551.39,1794.89,1384.79,400,647.36
10201271,01.01.011.3637,1010113637,0,1307.24,204.65,478.61,454.69,1661.46,1340.0,400,583.66
10201272,01.01.011.4729,1010114729,0,1307.21,276.88,545.75,452.28,1596.85,1366.34,400,562.66
10201273,01.01.011.4727,1010114727,1,1303.41,193.6,439.45,471.65,1624.62,1374.74,400,1272.57
10201274,01.01.011.4411,1010114411,0,1306.82,267.94,534.36,464.61,1616.51,1371.59,400,563.61
10201275,01.01.011.3625,1010113625,0,1306.79,197.26,469.09,464.5,1676.19,1344.4,400,589.32
10201276,01.01.011.3614,1010113614,0,1306.79,190.49,460.26,471.29,1686.11,1347.49,400,593.12
