"X_uid_","id","data","endereco","bairro","fonte","nome","url","dom_geo","cluster","x","y","classe_potencial_construtivo","potencial_construtivo","renda","dist_via_principal","dist_via_secundaria","dist_polo_padrao","dist_polo_valoriz","dist_polo_desvaloriz","area","precounit","preco","geom","z"
27,13735303,2022-07-26,"Rua Augusto Machado","SOUZA CRUZ","internet","Imovel WEB","http://www.lbimoveis.com/site/detalhes_imovel/86/terreno---souza-cruz--souza-cruz-brusque-terreno-no-souza-cruz-com-810m-dendo-15-m-de-frente-42m-","Dom_Geo_03",3,704925.34,6997801.31,"Baixo Potencial",0,1334.05,2495.22,467.7,628.58,1129.5,1,810,123.46,1e+05,c(704925.340828802, 6997801.30906473),123.46
32,13723809,2002-07-20,"Rua Bento Francisco Sgrott","PRIMEIRO DE MAIO","internet","William Imoveis","https://www.williamimoveis.com.br/detalhes_imovel/3726","Dom_Geo_03",2,707722.74,6998817.69,"Baixo Potencial",0,1450.13,429.4,1458.33,320.36,9.77,1980.75,559,169.95,95000,c(707722.743771753, 6998817.69383124),169.95
34,13723819,2002-07-20,"Rua Bento Francisco Sgrott","PRIMEIRO DE MAIO","internet","William Imoveis","https://www.williamimoveis.com.br/detalhes_imovel/3726","Dom_Geo_03",2,707734.21,6998817.3,"Baixo Potencial",0,1450.13,434.61,1469.41,321.05,9.42,1983.16,637,172.68,110000,c(707734.209207966, 6998817.29512033),172.68
35,13735305,2022-07-26,"Cond. Panoramico III","SAO JOAO","internet","LB","http://www.lbimoveis.com/site/detalhes_imovel/1084/terreno-cedro-brusque-","Dom_Geo_03",0,701685.54,6992974.29,"Baixo Potencial",0,1134.7,5923.57,2544.17,76.14,278.58,1,922.11,173.52,160000,c(701685.539255397, 6992974.28784954),173.52
36,13698018,2022-07-15,"Lot. Independencia","AGUAS CLARAS","internet","GOLDINVEST","https://www.goldinvestimoveis.com.br/detalhes_imovel/4540/terreno-no-bairro-aguas-claras-brusque-venda-RS150000","Dom_Geo_03",3,706864.58,6994385.01,"Baixo Potencial",0,1286.37,778,1049.67,1,1509.97,1062.92,752.7,199.28,150000,c(706864.580604602, 6994385.00694677),199.28
37,13723937,2022-07-21,"rua Professor Euclides visconti","SAO PEDRO","internet","Jorge Floriani","https://www.jorgefloriani.com.br/imovel/comprar/terreno/brusque/s%C3%A3o-pedro/2709","Dom_Geo_01",2,704099.27,7003005.5,"Baixo Potencial",0,1056.65,2643.42,888.44,29.89,499.47,1280.12,988.88,202.25,2e+05,c(704099.27104381, 7003005.49772741),202.25
38,13730994,2022-07-25,"Rua Marcos Fischer","SAO PEDRO","internet","Tarcisio Fischer","http://www.imoveisdebrusque.com.br/imovel/94643/terreno-no-bairro-sao-pedro/","Dom_Geo_01",2,706200.78,7004124.13,"Baixo Potencial",0,1239.81,1485.59,196.76,178.59,1243.76,164.65,741.2,202.37,150000,c(706200.777373875, 7004124.1265353),202.37
47,13730971,2022-07-25,"Rua fernando Brandt","LIMEIRA BAIXA","internet","ARG","http://www.imoveisdebrusque.com.br/imovel/57499/lindos-lotes/","Dom_Geo_03",4,711526.51,7003900.57,"Baixo Potencial",0,1348,1357.17,1376.2,759.81,1318.3,1402.78,425,235.29,1e+05,c(711526.506330561, 7003900.56715422),235.29
48,13750685,2022-07-27,"Rua Alexandre barni","TOMAZ COELHO","internet","Vitor Imoveis","https://vitorimoveis-sc.com.br/imovel.php?id=3113","Dom_Geo_03",0,702650.33,6993960.49,"Baixo Potencial",0,1240.24,4884.53,2031.67,7,1644,611.94,744,248.66,185000,c(702650.329243655, 6993960.49394595),248.66
49,13661168,2022-07-12,"Rua Luiz João Schinkein","LIMEIRA BAIXA","internet","planifik",NA,"Dom_Geo_03",4,711479.2,7002366.02,"Baixo Potencial",0,1203.46,2162.03,2277.9,1,2687.87,99.04,470,255.32,120000,c(711479.202588631, 7002366.02282996),255.32
